id,sample_url,hair,eyes
850369,https://safebooru.org/images/845/f1cf9c6319cb68bac6bf7d429106340857b9bebd.jpg,red_hair,red_eyes
2594660,https://safebooru.org/samples/2488/sample_3b62dfa9c74545bd63b26a13fe0c76ce5d709700.jpg,brown_hair,blue_eyes
637397,https://safebooru.org/images/632/5c55a810687266755c623191fd439da72f396f69.png,white_hair,red_eyes
388268,https://safebooru.org/images/388/6fe90535b34256e64d81a8906ca5380d3b3d7edf.jpeg,black_hair,green_eyes
736864,https://safebooru.org/images/731/c96f4752f6342433a469988369a026f243804d29.jpg,silver_hair,blue_eyes
2995252,https://safebooru.org/images/2875/dd26b012a8f487e532d2ceeac91b9f2961df0043.jpg,pink_hair,green_eyes
2208509,https://safebooru.org/samples/2119/sample_94a856d22a7bc3ce9bb657911e1accfc11b7a5af.png,silver_hair,red_eyes
886736,https://safebooru.org/images/881/4d286d46baf357469be204f4da030ce43a1dbac8.jpg,blue_hair,blue_eyes
2461752,https://safebooru.org/images/2363/12bed0a136adb668f58b52513dde160a20c8e7dc.png,blonde_hair,blue_eyes
2594878,https://safebooru.org/images/2488/348f3448ec518cf97b6de54a08ca3f382a7709e7.jpg,blue_hair,blue_eyes
2277747,https://safebooru.org/images/2186/69015eadbe0fa104db9e01ac18061aa2268ff4bb.png,blue_hair,red_eyes
998212,https://safebooru.org/images/992/bea3536c9a9b95601f34ab86dcac7efbaee200b7.jpg,brown_hair,brown_eyes
355759,https://safebooru.org/images/356/bf38a6eb2bc9f532eebceb8c9157f4ef827a43da.jpg,pink_hair,yellow_eyes
2652155,https://safebooru.org/samples/2545/sample_515523631aad73beb0e78b604002788032076c2d.jpg,silver_hair,red_eyes
2436203,https://safebooru.org/images/2339/6cfcdb83d3694aa4ace6bfad57b80f97b4bfae87.png,silver_hair,green_eyes
1828929,https://safebooru.org/samples/1748/sample_f2e5ec1a44b7932daa08ff96a558d64207b269f2.png,brown_hair,brown_eyes
1616466,https://safebooru.org/samples/1543/sample_ea1ccabe7daae5be30455fe8e268610c400c2e6c.jpg,blue_hair,blue_eyes
2559418,https://safebooru.org/images/2458/dcfbbbcb6048cfc2bdbcf0fcdcf59457625ea2d9.jpg,purple_hair,yellow_eyes
1381854,https://safebooru.org/samples/1328/sample_089bbff524d52b742184025dd9864c92b7f49763.jpg,green_hair,red_eyes
1039009,https://safebooru.org/images/776/83edab86bb046bd73001ac17d2c23c69b26fcc56.png,pink_hair,red_eyes
534641,https://safebooru.org/samples/532/sample_a2e6ff275be6e705000cec6599d0ce82a3e1f223.jpg,blonde_hair,blue_eyes
805937,https://safebooru.org/samples/800/sample_28f90254dd8b19d607e0a745c5903ab2c839089e.png,red_hair,red_eyes
2008524,https://safebooru.org/images/1926/7b5f218a47f13dfe9773ea95cdac0db5157f62bb.jpg,green_hair,yellow_eyes
1946709,https://safebooru.org/samples/1864/sample_d86a115761061309c2e940d39bcbcc226350c1e3.jpeg,white_hair,blue_eyes
949188,https://safebooru.org/samples/943/sample_210e17eb882bed711db60c9b707f2657f1f9701f.png,purple_hair,purple_eyes
2237618,https://safebooru.org/samples/2147/sample_4e54a200b79a25b398b8f8c91b0d705113fd7fbf.png,blonde_hair,yellow_eyes
2124286,https://safebooru.org/images/2037/163968b10b06c37163ef14ba40ceaaf014529ebb.png,green_hair,yellow_eyes
988517,https://safebooru.org/images/983/300fc9c0627a25335a0816584fb7478d.jpeg,purple_hair,red_eyes
